iter	Accuracy	Logloss
346	0.8642429821	0.3053922137
347	0.8643963798	0.3051697745
348	0.8645497776	0.3050159119
349	0.8648565731	0.3043922875
350	0.8650099709	0.3041231058
351	0.8656235619	0.30378014
352	0.8660837552	0.3034483703
353	0.8663905507	0.3032932951
354	0.8665439485	0.3031098239
355	0.8662371529	0.3028332899
356	0.8666973462	0.3025070165
357	0.8670041417	0.3022814313
358	0.866850744	0.3021087654
359	0.8671575395	0.3018999055
360	0.8680779261	0.3016738323
361	0.8683847216	0.3011677272
362	0.8685381193	0.3009966939
363	0.8686915171	0.3007107955
364	0.8683847216	0.3004826624
365	0.8686915171	0.3002892244
366	0.8685381193	0.3000264792
367	0.8686915171	0.2997808207
368	0.8688449149	0.299423497
369	0.8689983126	0.2991578369
370	0.8689983126	0.2988293523
371	0.8691517104	0.2986435294
372	0.8693051081	0.2983305069
373	0.8696119037	0.2981312283
374	0.8700720969	0.2978856822
375	0.8702254947	0.2977199259
376	0.8709924835	0.2973722581
377	0.8716060746	0.2971219618
378	0.8716060746	0.2968335631
379	0.8716060746	0.2967000111
380	0.871299279	0.2962445837
381	0.871299279	0.2959308129
382	0.8714526768	0.2955920928
383	0.8717594723	0.2952591465
384	0.8719128701	0.2950229036
385	0.8717594723	0.2948677247
386	0.8725264611	0.2946873777
387	0.8716060746	0.2944525898
388	0.8719128701	0.2943075339
389	0.8722196656	0.2941025812
390	0.8719128701	0.293868827
391	0.8720662678	0.2937798118
392	0.8725264611	0.2934957037
393	0.8726798589	0.2932916516
394	0.8731400522	0.2930961641
395	0.8731400522	0.2929549533
396	0.8728332566	0.2927351232
397	0.8725264611	0.2923572997
398	0.8734468477	0.2921980223
399	0.8737536432	0.2918076685
400	0.8737536432	0.2915924495
401	0.8732934499	0.2912716673
402	0.8737536432	0.2911368804
403	0.8740604387	0.2909575512
404	0.8743672342	0.2908714462
405	0.874520632	0.29066392
406	0.875134223	0.2904102298
407	0.875134223	0.2902733502
408	0.8749808253	0.2900645616
409	0.8749808253	0.2896900026
410	0.8749808253	0.2895453725
411	0.8752876208	0.2894356128
412	0.8755944163	0.2892515793
413	0.8755944163	0.2891204823
414	0.8757478141	0.2889939405
415	0.8757478141	0.2888496942
416	0.8757478141	0.2885903805
417	0.8760546096	0.2883945449
418	0.8760546096	0.2881446904
419	0.8765148029	0.2879162024
420	0.8765148029	0.2878129587
421	0.8763614051	0.2876487522
422	0.8760546096	0.287353157
423	0.8766682006	0.2872285278
424	0.8763614051	0.2870052639
425	0.8763614051	0.286852475
426	0.8760546096	0.2865664649
427	0.8766682006	0.2863390326
428	0.8771283939	0.2861693079
429	0.8766682006	0.2860099312
430	0.8769749962	0.2859016722
431	0.8769749962	0.2856775104
432	0.8774351894	0.2854589631
433	0.878355576	0.2853020949
434	0.878355576	0.2852113181
435	0.8785089738	0.2850665783
436	0.8785089738	0.2847217804
437	0.878355576	0.284414925
438	0.878355576	0.2842425648
439	0.8788157693	0.2840412638
440	0.8788157693	0.2839479556
441	0.8788157693	0.2838878532
442	0.8789691671	0.2837149155
443	0.8791225648	0.2835564023
444	0.8789691671	0.2833581913
445	0.8788157693	0.2831261381
446	0.8792759626	0.2828966085
447	0.8794293603	0.2827593033
448	0.8798895536	0.282513943
449	0.8800429514	0.2822908308
450	0.8801963491	0.282185885
451	0.8803497469	0.2819450711
452	0.8801963491	0.2817320394
453	0.8805031447	0.2814543899
454	0.8803497469	0.2812996778
455	0.8803497469	0.2811114324
456	0.8809633379	0.2808372561
457	0.8809633379	0.280450069
458	0.8808099402	0.2802190789
459	0.8805031447	0.2800943525
460	0.8808099402	0.2799693686
461	0.8814235312	0.279747704
462	0.8811167357	0.2797101879
463	0.8811167357	0.279430334
464	0.8812701335	0.2792755578
465	0.8817303267	0.2790266369
466	0.88219052	0.2789392128
467	0.88219052	0.278804121
468	0.8818837245	0.2786664171
469	0.8823439178	0.2783639526
470	0.8824973155	0.2782318458
471	0.8823439178	0.278017912
472	0.8826507133	0.2778176478
473	0.8829575088	0.2775969178
474	0.8829575088	0.2774491515
475	0.8832643043	0.2771976706
